feature,permutation_importance_mean,permutation_importance_std
DJF_NBR,0.217923113067603,0.05152916733791902
DJF_NDMI,0.10988901036070856,0.03003868839455837
WET_EVI,0.048546912108310324,0.037872645017985866
WET_NBR,0.025954080475738783,0.011860973644111227
WET_SAVI,0.0253971085158064,0.01381296002542183
WET_NDRE2,0.01764567218492592,0.017895061852959044
DJF_GNDVI,0.016229551794763163,0.02076847556967342
DJF_NDRE,0.00729832360840974,0.009093996584785696
DJF_IRECI,0.005997036213763085,0.012530735854308889
WET_NDVI,0.0,0.0
WET_NDRE,0.0,0.0
WET_NDMI,0.0,0.0
DJF_RECI,0.0,0.0
DJF_EVI,0.0,0.0
DJF_NDRE2,0.0,0.0
WET_RECI,0.0,0.0
DJF_SAVI,-0.0017829026581457573,0.013592685107819497
DJF_NDVI,-0.0024656181068300033,0.024361694973373992
WET_GNDVI,-0.00573770491803276,0.008764489034068505
WET_IRECI,-0.00573770491803276,0.008764489034068505
