model,accuracy,balanced_accuracy,precision_cocoa,recall_cocoa,f1_cocoa,roc_auc
mlp,0.84375,0.8203125,0.7741935483870968,0.75,0.7619047619047619,0.91259765625
random_forest,0.8125,0.765625,0.7692307692307693,0.625,0.6896551724137931,0.9248046875
xgboost,0.8125,0.7578125,0.7916666666666666,0.59375,0.6785714285714286,0.923828125
