feature,permutation_importance_mean,permutation_importance_std
DJF_IRECI,0.1166722776557072,0.026460427326496595
DJF_NBR,0.1114830533144768,0.04310499381290276
WET_NDRE,0.102862595786717,0.031013912558471142
DJF_NDMI,0.09766818968403437,0.035407181709882565
WET_NDVI,0.08701251825419437,0.03063769314761929
WET_NDMI,0.08697510095216429,0.024914564919627187
WET_NBR,0.07618799087506906,0.01932398190972344
WET_RECI,0.07522495041782193,0.025381567029531947
WET_NDRE2,0.058887421473604686,0.019634647675957333
DJF_GNDVI,0.0518954607033764,0.028237369464135402
DJF_NDRE,0.04206542308871108,0.020047539116756104
DJF_RECI,0.040461207780156515,0.027063776874980704
WET_IRECI,0.037455130455223765,0.024196880880123287
WET_SAVI,0.030852876766458343,0.021930894769999192
DJF_SAVI,0.02262076735398329,0.026889407678345925
WET_EVI,0.020044715277172293,0.017497802479269325
DJF_NDRE2,-0.0030873036496886054,0.022015811237538742
DJF_NDVI,-0.0042394230684871135,0.020692736518595687
WET_GNDVI,-0.005573976984796536,0.014569378682458735
DJF_EVI,-0.007681848204625252,0.02888747747903971
