model,accuracy,balanced_accuracy,precision_cocoa,recall_cocoa,f1_cocoa,roc_auc
xgboost,0.7327044025157232,0.6768867924528301,0.6206896551724138,0.5094339622641509,0.5595854922279793,0.7771448914204343
mlp,0.7452830188679245,0.6650943396226415,0.6923076923076923,0.42452830188679247,0.5263157894736842,0.7779013883944463
random_forest,0.7389937106918238,0.6580188679245282,0.676923076923077,0.41509433962264153,0.5146198830409356,0.7733179067283732
