feature,permutation_importance_mean,permutation_importance_std
DJF_NDMI,0.14657126772269932,0.02923933614905112
DJF_NBR,0.08418665431668242,0.02805144526313342
DJF_IRECI,0.0716351967846302,0.020247023519277683
DJF_NDRE,0.04460266565083522,0.015398975070278707
DJF_RECI,0.04455816657891081,0.01604292149466993
DJF_EVI,0.04278967075962887,0.019711522357586476
DJF_NDRE2,0.03475315207226145,0.018278698072486575
WET_EVI,0.029227193433598413,0.0118594271550331
WET_NDMI,0.026691949745247457,0.018237463186281177
WET_NBR,0.026062485206535035,0.01112845693202341
WET_NDVI,0.025948597606858304,0.02021839827256429
WET_RECI,0.023260575610079957,0.007925756503830043
WET_IRECI,0.021493098249475578,0.00799326607505358
DJF_SAVI,0.020739920404747432,0.01858402918819405
DJF_GNDVI,0.01677721604257475,0.013092279405823904
WET_GNDVI,0.011745301957021854,0.013356918029017933
WET_NDRE,0.00907418485416921,0.006420905679961655
WET_SAVI,0.007825719436817303,0.011193533972486668
DJF_NDVI,0.006781607200752371,0.022928429763211352
WET_NDRE2,0.001987456507281482,0.010707793424098635
